iter,time,f(xk),||Df(xk)||
152,0.000387,1.222629e+02,10.28573184
153,0.000342,1.222113e+02,2.48371034
154,0.000428,1.221627e+02,9.96599735
155,0.000352,1.221151e+02,2.54170200
156,0.000365,1.221019e+02,13.46316370
157,0.000324,1.220193e+02,2.77938694
158,0.000402,1.220051e+02,5.22536399
159,0.000368,1.219983e+02,6.13087536
160,0.000339,1.219938e+02,7.30293346
161,0.000416,1.219931e+02,8.79519065
162,0.000324,1.219564e+02,2.59688031
163,0.000363,1.219363e+02,8.06257365
164,0.000356,1.219053e+02,2.59639643
165,0.000356,1.218855e+02,8.13810520
166,0.000371,1.218543e+02,2.63183037
167,0.000344,1.218400e+02,8.93158713
168,0.000394,1.218034e+02,2.71975286
169,0.000331,1.218028e+02,10.63769734
170,0.000344,1.217528e+02,2.90416581
171,0.000478,1.217436e+02,6.37128401
172,0.000434,1.217434e+02,8.20144233
173,0.000418,1.217127e+02,2.74225868
174,0.000359,1.216989e+02,5.37632125
175,0.000325,1.216953e+02,6.89301651
176,0.000314,1.216728e+02,2.65650774
177,0.000367,1.216635e+02,9.71140702
178,0.000322,1.216224e+02,2.95853712
179,0.000319,1.216155e+02,6.86062466
180,0.000362,1.215934e+02,2.69697151
181,0.000401,1.215911e+02,10.62031333
182,0.000331,1.215435e+02,3.15863595
183,0.000356,1.215337e+02,3.73933134
184,0.000323,1.215256e+02,4.68576199
185,0.000324,1.215207e+02,6.15354002
186,0.000317,1.215026e+02,2.67693700
187,0.000354,1.214978e+02,10.39325335
188,0.000316,1.214528e+02,3.24092467
189,0.000318,1.214435e+02,3.93233278
190,0.000355,1.214362e+02,5.07982439
191,0.000325,1.214335e+02,6.88509659
192,0.000341,1.214120e+02,2.80387975
193,0.010913,1.214009e+02,6.08135981
194,0.000097,1.213835e+02,2.72443831
195,0.000439,1.213699e+02,5.52717993
196,0.000142,1.213698e+02,7.68972320
197,0.000091,1.213443e+02,2.96253879
198,0.000350,1.213386e+02,7.22401450
199,0.000318,1.213158e+02,2.91552604
200,0.000306,1.213087e+02,6.94829315
201,0.000347,1.212873e+02,2.89400327
202,0.000319,1.212796e+02,6.83379167
203,0.000314,1.212590e+02,2.89467060
204,0.000352,1.212513e+02,6.86749029
205,0.000309,1.212306e+02,2.91709434
206,0.000317,1.212239e+02,7.04873618
207,0.000349,1.212023e+02,2.96356813
208,0.000310,1.211973e+02,7.38906912
209,0.000313,1.211741e+02,3.03936405
210,0.000388,1.211719e+02,7.91285841
211,0.000319,1.211460e+02,3.15350340
212,0.000346,1.211368e+02,3.95284925
213,0.000318,1.211307e+02,5.40460353
214,0.000351,1.211167e+02,2.74928170
215,0.000315,1.211045e+02,5.93057605
216,0.000315,1.210885e+02,2.84190655
217,0.000350,1.210796e+02,6.65129316
218,0.000313,1.210604e+02,2.97846734
219,0.000314,1.210564e+02,7.62917175
220,0.000349,1.210325e+02,3.18015888
221,0.000314,1.210235e+02,4.06301933
222,0.000354,1.210183e+02,5.70735299
223,0.000587,1.210033e+02,2.84632859
224,0.000441,1.209948e+02,6.76699518
225,0.000304,1.209754e+02,3.05577039
226,0.000342,1.209747e+02,8.24449866
227,0.000306,1.209478e+02,3.38530188
228,0.000312,1.209398e+02,4.51115500
229,0.000358,1.209370e+02,6.58480970
230,0.000313,1.209186e+02,3.04832681
231,0.000354,1.209178e+02,8.24467717
232,0.000318,1.208911e+02,3.42480512
233,0.000370,1.208833e+02,4.62130936
234,0.000342,1.208815e+02,6.84781654
235,0.000325,1.208620e+02,3.14156037
236,0.000352,1.208532e+02,4.07300913
237,0.000316,1.208485e+02,5.87733959
238,0.000314,1.208332e+02,2.95086547
239,0.000381,1.208290e+02,7.66606626
240,0.000317,1.208057e+02,3.35869560
241,0.000322,1.207978e+02,4.54197879
242,0.000350,1.207959e+02,6.79663026
243,0.000313,1.207769e+02,3.18202784
244,0.000316,1.207683e+02,4.19815386
245,0.000357,1.207645e+02,6.18645660
246,0.000313,1.207482e+02,3.05683752
247,0.000312,1.207392e+02,3.94599295
248,0.000355,1.207341e+02,5.73844665
249,0.000311,1.207197e+02,2.97574087
250,0.000443,1.207168e+02,7.95930720
251,0.000534,1.206926e+02,3.52514576
252,0.000403,1.206856e+02,4.94692621
253,0.000661,1.206739e+02,2.82624205
254,0.007444,1.206655e+02,6.88417148
255,0.000180,1.206465e+02,3.28197727
256,0.000359,1.206385e+02,4.47335554
257,0.000318,1.206368e+02,6.82533305
258,0.000313,1.206181e+02,3.27950130
259,0.000362,1.206101e+02,4.48120690
260,0.000350,1.206085e+02,6.87233149
261,0.000366,1.205898e+02,3.31308468
262,0.000369,1.205820e+02,4.56843669
263,0.000461,1.205811e+02,7.06021371
264,0.000330,1.205615e+02,3.37482666
265,0.000322,1.205541e+02,4.71233670
266,0.000346,1.205432e+02,2.81449457
267,0.000325,1.205347e+02,6.88091368
268,0.000319,1.205160e+02,3.35495929
269,0.000255,1.205085e+02,4.69481256
270,0.000316,1.204978e+02,2.82330921
