iter,time,f(xk),||Df(xk)||
152,0.000285,1.740032e+02,8.63085436
153,0.000331,1.739795e+02,5.64107358
154,0.000313,1.739646e+02,4.21216974
155,0.000307,1.739513e+02,6.55506682
156,0.000300,1.739341e+02,4.63342921
157,0.000305,1.739250e+02,7.76049439
158,0.000454,1.739042e+02,5.21985900
159,0.000436,1.739016e+02,9.33021918
160,0.000426,1.738752e+02,6.02064700
161,0.000313,1.738594e+02,4.39590304
162,0.000301,1.738478e+02,7.09070664
163,0.000283,1.738291e+02,4.90460274
164,0.000336,1.738228e+02,8.50310439
165,0.000311,1.737995e+02,5.61204681
166,0.000298,1.737847e+02,4.22055214
167,0.000495,1.737712e+02,6.57298263
168,0.000421,1.737540e+02,4.66792464
169,0.000383,1.737450e+02,7.85884669
170,0.000480,1.737239e+02,5.30101385
171,0.000403,1.737221e+02,9.55493940
172,0.000437,1.736950e+02,6.17769506
173,0.000424,1.736787e+02,4.49263888
174,0.000440,1.736678e+02,7.36362042
175,0.000376,1.736483e+02,5.06779497
176,0.000455,1.736436e+02,8.94572721
177,0.000422,1.736188e+02,5.87637293
178,0.000442,1.736033e+02,4.36344065
179,0.000421,1.735909e+02,6.98480902
180,0.000360,1.735725e+02,4.89427753
181,0.000331,1.735657e+02,8.47990148
182,0.000316,1.735426e+02,5.65112068
183,0.000335,1.735275e+02,4.27059564
184,0.000313,1.735141e+02,6.70170432
185,0.000307,1.734964e+02,4.76885050
186,0.000331,1.734881e+02,8.13369296
187,0.000320,1.734661e+02,5.48842910
188,0.000380,1.734515e+02,4.20706238
189,0.000452,1.734372e+02,6.49890351
190,0.000368,1.734201e+02,4.68311108
191,0.000323,1.734106e+02,7.88970332
192,0.000403,1.733895e+02,5.37859022
193,0.000434,1.733880e+02,9.76977167
194,0.000400,1.733602e+02,6.36833580
195,0.000412,1.733434e+02,4.63255307
196,0.000451,1.733332e+02,7.73937454
197,0.000403,1.733125e+02,5.31675251
198,0.000407,1.733101e+02,9.60653432
199,0.000445,1.732829e+02,6.29924561
200,0.000416,1.732662e+02,4.61196621
201,0.000417,1.732556e+02,7.67082804
202,0.000449,1.732350e+02,5.29687153
203,0.000293,1.732322e+02,9.55092038
204,0.000325,1.732052e+02,6.28785935
205,0.000336,1.731885e+02,4.61957617
206,0.000349,1.731777e+02,7.68037972
207,0.000293,1.731571e+02,5.31727615
208,0.000376,1.731543e+02,9.59983219
209,0.000319,1.731271e+02,6.33296628
210,0.000512,1.731102e+02,4.65514755
211,0.000507,1.730995e+02,7.76774151
212,0.000440,1.730786e+02,5.37835547
213,0.000435,1.730762e+02,9.75453982
214,0.000407,1.730485e+02,6.43603608
215,0.000358,1.730313e+02,4.71999379
216,0.000311,1.730209e+02,7.93608887
217,0.000301,1.729995e+02,5.48259453
218,0.000359,1.729981e+02,10.02081408
219,0.000294,1.729692e+02,6.60132618
220,0.000309,1.729515e+02,4.81706459
221,0.000349,1.729419e+02,8.19225467
222,0.000360,1.729196e+02,5.63472057
223,0.000439,1.729041e+02,4.36318535
224,0.000423,1.728893e+02,6.83296166
225,0.000333,1.728709e+02,4.94965883
226,0.000410,1.728624e+02,8.54308451
227,0.000384,1.728388e+02,5.83992312
228,0.000336,1.728228e+02,4.47709307
229,0.000319,1.728087e+02,7.14483782
230,0.000372,1.727893e+02,5.12607431
231,0.000307,1.727823e+02,9.00798265
232,0.000413,1.727571e+02,6.11033171
233,0.000305,1.727403e+02,4.62592682
234,0.000412,1.727272e+02,7.55137696
235,0.000333,1.727065e+02,5.35569022
236,0.000418,1.727018e+02,9.60787637
237,0.000373,1.726743e+02,6.45970536
238,0.000326,1.726565e+02,4.81824994
239,0.000440,1.726448e+02,8.07231337
240,0.000352,1.726225e+02,5.65123294
241,0.000324,1.726208e+02,10.37089100
242,0.000385,1.725902e+02,6.90640622
243,0.000369,1.725711e+02,5.06559301
244,0.000384,1.725615e+02,8.73380339
245,0.000419,1.725369e+02,6.02962864
246,0.000425,1.725198e+02,4.64956581
247,0.000316,1.725049e+02,7.47114180
248,0.000320,1.724840e+02,5.38164621
249,0.000352,1.724773e+02,9.56569939
250,0.000331,1.724496e+02,6.51078836
251,0.000338,1.724311e+02,4.91402112
252,0.000314,1.724181e+02,8.18892795
253,0.000371,1.723948e+02,5.78819730
254,0.000357,1.723924e+02,10.61717825
255,0.000617,1.723604e+02,7.12606180
256,0.000504,1.723400e+02,5.25617516
257,0.000506,1.723299e+02,9.10121541
258,0.000693,1.723033e+02,6.31211894
259,0.000522,1.722848e+02,4.87175192
260,0.000508,1.722692e+02,7.91018645
261,0.000622,1.722462e+02,5.69873418
262,0.000615,1.722404e+02,10.25815654
263,0.000535,1.722093e+02,6.98653039
264,0.000460,1.721887e+02,5.24699399
265,0.008879,1.721759e+02,8.91770928
266,0.000111,1.721494e+02,6.27608741
267,0.000156,1.721304e+02,4.92083615
268,0.000159,1.721125e+02,7.85735230
269,0.000147,1.720891e+02,5.73851530
270,0.000158,1.720809e+02,10.21170421
271,0.000151,1.720493e+02,7.02976567
272,0.000148,1.720279e+02,5.34123732
273,0.000152,1.720132e+02,8.99153783
274,0.000158,1.719857e+02,6.38858616
275,0.000155,1.719849e+02,11.88842544
276,0.000162,1.719460e+02,8.02174893
277,0.000148,1.719212e+02,5.90128688
278,0.000149,1.719118e+02,10.47570373
279,0.000153,1.718784e+02,7.25344218
280,0.000289,1.718555e+02,5.53555447
281,0.000148,1.718396e+02,9.32914771
282,0.000111,1.718101e+02,6.65116385
283,0.000114,1.718097e+02,12.42289345
284,0.000121,1.717675e+02,8.40760079
285,0.000106,1.717407e+02,6.18648619
286,0.000126,1.717315e+02,11.06955899
287,0.000197,1.716949e+02,7.66673054
288,0.000145,1.716699e+02,5.83004384
289,0.000160,1.716541e+02,9.95681544
290,0.000197,1.716215e+02,7.07492448
291,0.000200,1.715977e+02,5.55940572
292,0.000218,1.715767e+02,9.04398392
293,0.000122,1.715470e+02,6.60456854
294,0.000102,1.715405e+02,12.05189551
295,0.000102,1.714990e+02,8.30077713
296,0.000097,1.714713e+02,6.23378010
297,0.000151,1.714579e+02,10.93769859
298,0.000162,1.714208e+02,7.69170544
299,0.000144,1.713946e+02,5.93885897
300,0.000130,1.713758e+02,10.00645264
301,0.000130,1.713421e+02,7.19193859
302,0.000139,1.713171e+02,5.70221045
303,0.000129,1.712941e+02,9.22671483
304,0.000131,1.712630e+02,6.77976527
305,0.000139,1.712563e+02,12.39800672
306,0.000134,1.712128e+02,8.57613836
307,0.000137,1.711837e+02,6.43887224
308,0.000133,1.711714e+02,11.42324034
309,0.000126,1.711321e+02,8.02566034
310,0.000122,1.711047e+02,6.15057748
311,0.000129,1.710881e+02,10.59092024
312,0.000123,1.710522e+02,7.55660748
313,0.000121,1.710263e+02,5.90233663
314,0.000128,1.710065e+02,9.87719160
315,0.000133,1.709735e+02,7.15318196
316,0.000136,1.709489e+02,5.68416037
317,0.000123,1.709269e+02,9.26204687
318,0.000124,1.708964e+02,6.80254851
319,0.000120,1.708928e+02,12.63020959
320,0.000127,1.708496e+02,8.73381721
321,0.000457,1.708211e+02,6.49709383
322,0.000433,1.708140e+02,11.85861024
323,0.000415,1.707746e+02,8.27308305
324,0.000434,1.707479e+02,6.22610167
325,0.000405,1.707384e+02,11.18835494
326,0.000459,1.707022e+02,7.86990217
327,0.000469,1.706772e+02,5.98426146
