z,f(z),I. Lag,Err L,I. Nev,Err N,I DD,Err DD
0.0075,1.00753,0.598054,0.409474,0.598054,0.409474,0.598054,0.409474
0.0125,1.01258,0.561617,0.450961,0.561617,0.450961,0.561617,0.450961
0.0175,1.01765,0.485709,0.531945,0.485709,0.531945,0.485709,0.531945
