n,z,P_n(z),|P_n(z) - f(z)|
1,0.5,1,0.648721
1,1,1,1.71828
1,1.5,1,3.48169
1,2,1,6.38906
3,0.5,1.625,0.0237213
3,1,2.5,0.218282
3,1.5,3.625,0.856689
3,2,5,2.38906
5,0.5,1.64844,0.000283771
5,1,2.70833,0.0099485
5,1.5,4.39844,0.0832516
5,2,7,0.389056
10,0.5,1.64872,2.81877e-10
10,1,2.71828,3.02886e-07
10,1.5,4.48167,1.83637e-05
10,2,7.38871,0.000343577
